Hello everybody! I updated the overview sheet with a guide on unfinished items/guidelines before asking me to P/C. Please read that before messaging me!,,,,,,,,,,,,,,,,,,,,,,,,,
Scrolls,,,,,,,,Woah you found a secret!,,,,,,,,,,,,,,,,,
READ THIS NOTE,10%,,30% (Dark),60%,70% (Dark),,Event 100%,,Brand New Monster Galore,,20m,,,,,,,,,,,,,,
,,Weapon Scrolls,,,,,,,Popular Potions,,,,,,,,,Potion,Price,WA,Time,1 min cost (in k),Marginal WA,Cost increase per wa (1000 mesos/wa*minute),Cost increase per wa (1000 mesos/wa*hour)
1h Sword ATT,20-70k,,2-3m,600k-3m,100-400k,,10-15m,,Energizer,,1.5-2m,,,,,,,Gizer,1.5,25,30,50,25,2.00,120
1h Sword MA,200k,,350k-1m,200k-1m,300-500k,,0,,Enchanted Peppermint,,3m,,,,,,,Peppermint,2.5,35,20,125,10,7.50,450
1h Axe ATT,77k,,200-400k,100-333k,100k,,1-9m,,Heartstopper,,380k,,,,,,,Stopper,0.3,60,1,300,25,7.00,420
1h Blunt Weapon ATT,50-100k,,400-600k,500k,40-130k,,1.5-10m,,Onyx Apple,,6.8m,Scroll right for some WA mathemagic!,,,,,,Apple,7,100,10,700,40,10.00,600
2h Sword ATT,1m,,5-5.5m,100k-2m,100-250k,,15-16m,,Demon Elixir,,32-44m,,,,,,,Demon Elixir,30,140,8,3750,40,76.25,4575
2h Axe ATT,50-100k,,200k-1m,15-100k,50k,,1.5-2m,,VL Pot (Sippable Soul Substance),,52-70m,,,,,,,Apple,7,100,10,700,40,10.00,600
2h Blunt Weapon ATT,100k,,200-400k,44k,50-100k,,1-4m,,Spellbound Lollipop,,2.2-3m,,,,,,,Gelt - Estimated cost,15,120,10,1500,20,40.00,2400
Spear ATT,200k,,7-8m,200k,50-200k,,34-40m,,Subani's Mystic Cauldron,,15-25m,,,,,,,Demon Elixir,30,140,8,3750,20,112.50,6750
Polearm ATT,10k,,400-800k,300-450k,50-100k,,3-5m,,Ssiws Cheese,,1.3-1.9m,,,,,,,,,,,,,,
Wand MA,1.5m,,12-20m,80k,50-150k,,170-190m,,VL Pot (Pourable Putrid Potion),,10-20m,,,,,,,,,,,,,,
Staff MA,30-50k,,1.8-2m,750-800k,100-300k,,30-35m,,Amorian Basket,,450-500k,,,,,,,,,,,,,,
Bow ATT,333-900k,,5-6.9m,100-200k,100k,,10m,,Maple Pop,,470k,,,,,,,,,,,,,,
Crossbow ATT,55-100k,,666k-1m,50k,100k,,3-5m,,Elixir,,8-9k,,,,,,,,,,,,,,
Claw ATT,200-300k,,19-20m,500k,500k,,30-40m,,Power Elixir,,12-13k,,,,,,,,,,,,,,
Dagger ATT,250-400k,,6-7m,30-50k,100-300k,,15m,,,,,,,,,,,,,,,,,,
Knuckler Attack,900k-1m,,12-16m,40k,100-200k,,25m,,"Even at listed prices, mastery books can often be very slow to sell, with the main exceptions being MW and Gen. Book prices are extremely volatile, except MW/Gen/HW10",,,,,,,,,,,,,,,,
Gun Attack,10-33k,,1-2m,50k,50-100k,,3-5m,,,,,,,,,,,,,,,,,,
,,Helm Scrolls,,,,,,,Mastery Books,,,,,,,,,,,,,,,,
Helmet for DEX,100-444k,,2.5-3.8m,1.65m,1.5-3m,,1m,,Skill,Lv20,Lv30,,,,,,,,,,,,,,
Helmet for Accuracy,,,1.2m,9-11m,600k-10m,,,,Maple Warrior,1.85b,,,,,,,,,,,,,,,
Helmet for INT,200-500k,,3.5m,4.4-5m,7m,,,,Hero's Will 10,1.7-1.8b,,,,,,,,,,,,,,,
Auf Circlet for STR,,,,20-30m,,,,,Genesis,220-245m,640-650m,,,,,,,,,,,,,,
Auf Circlet for DEX,,,,10m,,,,,Mage,,,,,,,,,,,,,,,,
Auf Circlet for INT,,,,6m,,,,,Big Bang,,30m,,,,,,,,,,,,,,
Auf Circlet for LUK,,,,3-10m,,,,,Infinity,10m,3-25m,,,,,,,,,,,,,,
Auf Circlet Miracle,230-240m,,,,,,,,Genesis,220-245m,640-650m,,,,,,,,,,,,,,
,,Cape Scrolls,,,,,,,Angel Ray,0,5m,,,,,,,,,,,,,,
Cape for STR,50-100k,,100k,50-70k,50-100k,,50-90k,,Holy Shield,0,25m,,,,,,,,,,,,,,
Cape for DEX,50-100k,,100-200k,550k+,100-300k,,20k,,Blizzard,10-20m,10-15m,,,,,,,,,,,,,,
Cape for INT,200-250k,,1-1.5m,500k-1m,1.5m,,100-700k,,Chain Lightning,10-15m,5-8m,,,,,,,,,,,,,,
Cape for LUK,20k,,100-150k,100-150k,100k,,90k,,Ice Demon,900k,1-5m,,,,,,,,,,,,,,
,,Top Scrolls,,,,,,,Ifrit,600k,30m,,,,,,,,,,,,,,
Topwear for STR,75-222k,,300k,500k-1.1m,500-700k,,,,Meteor Shower,3-10m,20m,,,,,,,,,,,,,,
Topwear for LUK,80-200k,,1-2m,9-11m,400-700k,,,,Fire Demon,10k-1.5m,1m,,,,,,,,,,,,,,
Topwear for LUK (avoid),222k,,2-2.5m,11-12m,1.1-3.5m,,,,Elquines,1-3m,10m,,,,,,,,,,,,,,
,,Glove Scrolls,,,,,,,Paralyze,,5m,,,,,,,,,,,,,,
Gloves for WA,200-250k,,18m,200-450k,250-400k,,290m,,Pirate,,,,,,,,,,,,,,,,
Gloves for MA,1.7-3m,,17-18m,9-11m,1.9m,,35m,,Dragon Strike,9-10m,20m,,,,,,,,,,,,,,
Gloves for DEX,50k,,200k-1m,100k,100k,,2.5-6m,,Barrage,20-40m,5m,,,,,,,,,,,,,,
,,Overall Scrolls,,,,,,,Energy Orb,1.2m,1.1m,,,,,,,,,,,,,,
Overall for STR,1.3-3m,,18m,666k,888k,,70-80m,,Speed Infusion,0,,,,,,,,,,,,,,,
Overall Armor for DEX,800k,,5m,666k,700k,,70m,,Super Trans,5m,,,,,,,,,,,,,,,
Overall Armor for INT,1.1m,,10-11m,1.5m,1.1-1.5m,,60-70m,,Demolition,200k-1m,20m,,,,,,,,,,,,,,
Overall Armor for LUK,300k-1.5m,,1.1-2m,40-50k,50-100k,,9-20m,,Snatch,,5-9m,,,,,,,,,,,,,,
,,Bottom Scrolls UwU,,,,,,,Time Leap,5m,2-15m,,,,,,,,,,,,,,
Bottom for DEX (Speed),144k,,1-2m,2.5-8.5m,1.9m,,,,Elemental Boost,1m,30m,,,,,,,,,,,,,,
Bottom for DEX (Acc),1m,,1.5m,1.5-2.2m,1.5m,,,,Wrath of Octopi,45m,,,,,,,,,,,,,,,
,,Shield Scrolls,,,,,,,Rapid Fire,7-10m,10m,,,,,,,,,,,,,,
Shield for WA,500-800k,,6-7m,3-5m,2-3m,,,,Bullseye,2-4m,,,,,,,,,,,,,,,
Shield for MA,5-8m,,17-18m,21m,22m,,3.5-5m,,Battleship Canon,2-5m,1-6m,,,,,,,,,,,,,,
,,Shoe Scrolls,,,,,,,Battleship Torpedo,0,50m,,,,,,,,,,,,,,
Shoes for Speed,100k,,350-500k,100-700k,100-600k,,10m,,Hypnotize,,,,,,,,,,,,,,,,
Shoes for Jump,500-600k,,3m,600-900k,200k-500k,,20-45m,,Air Strike,,20-30m,,,,,,,,,,,,,,
,,Earring Scrolls,,,,,,,Warrior,,,,,,,,,,,,,,,,
Earring for STR,1.5-2.5m,,3.3-6m,1-1.5m,5m,,95-100m,,Achilles,0,500k-5m,,,,,,,,,,,,,,
Earring for DEX,700k-1m,,4m,1m,300-450k,,80-100m,,Guardian,0,5-15m,Why would you click this cell? It's empty!,,,,,,,,,,,,,
Earring for INT,1.2m,,23-24m,1m,700k-1.5m,,70-75m,,Monster Magnet,1-5m,9m,,,,,,,,,,,,,,
Earring for LUK,200-666k,,1m,350-750k,1.2m,,50-60m,,Rush,4m,45-50m,,,,,,,,,,,,,,
,,Eye Scrolls,,,,,,,Power Stance,1m,7-9m,,,,,,,,,,,,,,
Eye for STR,5-15m,,100m,100-120m,90-100m,,0,,Adv. Combo Atk,1m,0,,,,,,,,,,,,,,
Eye for DEX,10-20m,,200m,100m,100m,,,,Brandish,1-3m,1m,,,,,,,,,,,,,,
Eye for INT,100-150k,,200k,5-15m,1.5-2m,,500k-3m,,Enrage,20m,5-15m,,,,,,,,,,,,,,
Eye for LUK,30-40m,,100-120m,77-90m,100-120m,,,,Berserk,4m,15-20m,,,,,,,,,,,,,,
,,Face Scrolls,,,,,,,Blast,0,3-5m,,,,,,,,,,,,,,
Face for STR,10-20m,,70-85m,75-90m,35m,,0,,Divine Charge (BW),500k-2m,,,,,,,,,,,,,,,
Face for DEX,500-800k,,7m,25m,5m,,,,Holy Charge (Sword),1m,,,,,,,,,,,,,,,
Face for INT,15-30m,,155m,150m,60-100m,,,,Heaven's Hammer,3-10m,5m,,,,,,,,,,,,,,
Face for LUK,20-30m,,100-110m,50-75m,22-35m,,,,Archer,,,,,,,,,,,,,,,,
,,Ring Scrolls,,,,,,,Dragon's Breath,4m,2-20m,,,,,,,,,,,,,,
Rings for STR,2-5m,,20m,19-33m,Far too rare to price. The only source is White Lady during Halloween,,,,Sharp Eyes,17-25m,0,,,,,,,,,,,,,,
Rings for DEX,2.5m,,15m,50m,,,,,Bow Expert,200k-2m,45m,,,,,,,,,,,,,,
Rings for INT,1m,,5m,30-40m,,,,,Concentrate,,15m,,,,,,,,,,,,,,
Rings for LUK,3-5m,,10-15m,11-22m,,,,,Hamstring,0,1.1m,,,,,,,,,,,,,,
,,Belt Scrolls,,,,,,,Phoenix,0,5-30m,,,,,,,,,,,,,,
Belts for STR,1-2m,,5-30m,10m,,,100-250k,,Hurricane,4.5-45m,3.5-7m,,,,,,,,,,,,,,
Belts for DEX,200-500k,,12-22m,20-25m,,,500k,,Blind,0,1m,,,,,,,,,,,,,,
Belts for INT,700k-1m,,5-10m,10m,70m,,500k,,Frostprey,100k,1m,,,,,,,,,,,,,,
Belts for LUK,1-5m,,7.5-20m,5-10m,70m,,250-500k,,Marksman Boost,1m,16m,,,,,,,,,,,,,,
,,HP Scrolls,,,,,,,Piercing Arrow,0,,,,,,,,,,,,,,,
Helm for HP,,,333k+,500k+,,,,,Snipe,20m,5-15m,,,,,,,,,,,,,,
Cape for HP,,,200k,,800k+,,,,Thief,,,,,,,,,,,,,,,,
Topwear for HP,,,800k+,<1.5m,,,,,Shadow Shifter,6-15m,5-35m,,,,,,,,,,,,,,
Gloves for HP,,,200k,,,,,,Ninja Ambush,,23m,,,,,,,,,,,,,,
Bottom UwU for HP,,,150k+,,150k+,,,,Taunt,3m,13m,,,,,,,,,,,,,,
Shield for HP,,,300k+,,,,,,Venemous Stab/Star,100k,10-15m,,,,,,,,,,,,,,
Earring for HP,,,150k+,,100k+,,,,Assassinate,2.5-8m,590m,,,,,,,,,,,,,,
Eye for HP,<100k,,<40k,,<20k,,,,Boomerang Step,0,8m,,,,,,,,,,,,,,
Face for HP,,,400k,,,,,,Smokescreen,5-10m,35m,,,,,,,,,,,,,,
Pet Equip for HP,,,1-1.5m,5m,750k-1m,,,,Ninja Storm,100k,35-50m,,,,,,,,,,,,,,
,,Other Scrolls,,,,,,,Shadow Stars,20-33m,1.5m,,,,,,,,,,,,,,
Chaos Scroll,,,,495-500m,,,,,Triple Throw,5-15m,30-35m,,,,,,,,,,,,,,
White Scroll,500m,,,,,,,,,,,,,,,,,,,,,,,,
Clean Slate 1%,15-20m,,,,,,,,,,,,,,,,,,,,,,,,
Clean Slate 3%,40m,,,,,,,,,,,,,,,,,,,,,,,,
Clean Slate 5%,110m,,,,,,,,,,,,,,,,,,,,,,,,
Clean Slate 20%,200-220m,,,,,,,,,,,,,,,,,,,,,,,,
Pet Equip. for Speed,50-100k,,,200-250k,,,<110k,,,,,,,,,,,,,,,,,,
Pet Equip. for Jump,10k,,,10k,,,,,,,,,,,,,,,,,,,,,
Normal Witch Scroll,,,,,,,7.2-8m,,,,,,,,,,,,,,,,,,
,,Worthless Scrolls,,,,,,,,,,,,,,,,,,,,,,,
All DEF Scrolls,,,Occasionally 30%s are sold as dummy scrolls for 100-300k/ea. Generally you need bulk for them to sell,,,,,,,,,,,,,,,,,,,,,,
Shield for Luk,,,,,,,,,,,,,,,,,,,,,,,,,
Shield for Str,,,,,,,,,,,,,,,,,,,,,,,,,
Bottomwear for Jump,,,,,,,,,,,,,,,,,,,,,,,,,
<Weapon> for Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,
All MP Scrolls,,,,,,,,,,,,,,,,,,,,,,,,,
Shoes for DEX,,,,,,,,,,,,,,,,,,,,,,,,,